Year,"Birth rate, crude (per 1,000 people)",CO2 emissions (metric tons per capita),Current account balance (% of GDP),Current health expenditure (% of GDP),Expense (% of GDP),Exports of goods and services (% of GDP),"Fertility rate, total (births per woman)",Final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",Food exports (% of merchandise exports),Food imports (% of merchandise imports),"Foreign direct investment, net (BoP, current US$)",GDP growth (annual %),GDP per capita growth (annual %),GNI growth (annual %),GNI per capita growth (annual %),Goods and services expense (% of expense),Gross capital formation (% of GDP),Gross domestic savings (% of GDP),Gross fixed capital formation (% of GDP),Gross national expenditure (% of GDP),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Population growth (annual %),"Population, total","Services, value added (% of GDP)",Trade (% of GDP),"Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
1990,11.4,12.02658028,2.622154765,..,24.68568704,22.83583656,1.45,75.44203287,0.144310233,1.356735685,4.787242731,10.14258539,21480192635,5.255006083,4.351639054,5.349318027,4.557951872,24.70741406,24.82831535,24.55796713,24.42267509,100.2703482,23.02775102,2.696468243,3.39664345,43.84481708,2.518432707,0.861969449,79433029,..,45.86358758,4.89,..
1991,10.4,11.65482681,-1.421338058,..,31.08563501,23.664901,1.33,74.7152226,0.253701122,1.246523906,5.297364622,9.931664708,18555313747,5.108261522,4.345220055,4.550722553,3.056205318,3.869107993,25.77235465,25.2847774,24.89096986,100.4875772,24.15247824,4.047032598,3.08507976,42.41702759,1.997834988,0.728605547,80013896,56.36915122,47.81737924,5.316,5.32
1992,10,11.0737594,-1.184810231,..,31.30671069,22.19469349,1.29,75.24141335,-0.100288836,0.895740514,5.419797466,10.24210218,21230462203,1.923076559,1.151046332,1.770174566,2.215450425,4.035401485,25.26003784,24.75858665,25.201168,100.5014512,22.69614467,5.056977967,5.306196642,39.34472395,1.860479941,0.760346947,80624598,57.38340599,44.89083816,6.323,6.32
1993,9.8,10.93022121,-1.033548861,..,31.80645272,20.31344059,1.28,76.0113428,0.023164615,0.851667276,5.468389812,9.962216364,17161584361,-0.976849818,-1.625684284,-1.14543515,-1.224194688,3.78239384,23.93851127,23.9886572,24.05622284,99.94985407,20.26329467,4.474576508,3.88366392,34.89106838,1.693538323,0.657391218,81156363,59.15157434,40.57673526,7.675,7.68
1994,9.5,10.75533973,-1.516774964,..,31.89363505,21.11071028,1.24,75.50599874,0.340906851,0.900484415,5.379377891,10.24455188,12339100060,2.391892071,2.03735421,1.712856753,1.826002379,3.404911655,24.33046378,24.49400126,24.14140089,99.83646252,20.9471728,2.693056399,2.051608029,36.65740718,1.550276433,0.346856649,81438348,59.10316745,42.05788309,8.727,8.73
1995,9.4,10.70862232,-1.24492969,..,38.3255129,21.99423628,1.25,75.26641367,0.465679526,1.53991896,5.076155514,9.780642902,27778316539,1.544146496,1.246141876,1.311699397,1.745402624,2.618796095,24.32674799,24.73358633,23.5390397,99.59316165,21.58739793,1.706160413,1.981324649,38.18299751,1.495022014,0.293904444,81678051,59.83669462,43.58163421,8.158,8.16
1996,9.7,11.0399715,-0.681482562,..,32.45079058,22.86002769,1.3,76.02327494,0.624360056,2.425379798,5.229420307,9.836082606,44977189363,0.805822891,0.514437285,0.959382582,0.5838132,3.061464637,23.26229065,23.97672506,23.02730329,99.28556558,22.14559327,1.44972702,0.602279503,39.39329762,1.46585846,0.289474899,81914831,60.74810813,45.00562096,8.822,8.82
1997,9.9,10.63751979,-0.52083621,..,31.89271601,25.36027331,1.35,75.54659256,0.842609915,2.239116969,4.89264325,9.230449216,30890591110,1.792160821,1.643334273,1.582887133,1.044089478,2.868164819,23.37551947,24.45340744,22.65063866,98.92211203,24.28238534,1.939371989,0.272816322,43.33754507,1.409301733,0.146313282,82034771,61.10628968,49.64265864,9.861,9.86
1998,9.6,10.54580477,-0.698313951,..,31.70222694,26.40690621,1.36,74.75069747,1.318741891,4.332506142,4.902093245,8.888755675,67478470728,2.013932785,1.998485321,1.620957898,2.135369948,2.842581963,24.02046247,25.24930253,22.7982248,98.77115994,25.17806614,0.911183535,0.688465401,45.34301845,1.390894786,0.015143651,82047195,61.27967355,51.58497235,9.787,9.79
1999,9.4,10.1533792,-1.429859119,..,31.62235127,26.95923243,1.36,75.44394702,3.919717995,6.351048978,4.676716866,8.30155794,53364279143,1.887261154,1.821428031,1.762868742,1.871627333,2.962627719,24.00343776,24.55605298,23.03867967,99.44738478,26.4066172,0.585433064,0.343135142,46.36042683,1.395074355,0.064634578,82100243,61.53708703,53.36584963,8.854,8.85
2000,9.3,10.09936589,-1.740466103,9.8881979,31.31322039,30.84771157,1.38,75.34377386,12.73150359,5.039682144,4.163517711,6.583495256,-1.50E+11,2.912502964,2.773221251,3.054602969,1.648158394,3.000772613,24.486864,24.65622614,23.11432893,99.83063786,30.67834943,1.440268387,-0.489389005,53.85095986,1.358883033,0.1354316,82211508,61.46484977,61.526061,7.917,7.92
2001,8.9,10.29361229,-0.364863756,9.92069149,30.73936498,31.84470712,1.35,75.41297283,2.926755399,3.60995029,4.56496399,7.473321767,13294434783,1.681468481,1.510558261,1.539046776,1.365454104,3.001011075,22.96045182,24.58702717,21.77819511,98.37342466,30.21813177,1.983857313,1.30499491,54.36164594,1.323438303,0.168225361,82349925,62.18292874,62.06283889,7.89,7.77
2002,8.7,10.10301134,1.911032658,10.18365669,31.17791567,32.59257911,1.34,74.97334085,2.466615193,0.827656897,4.58109002,7.911018569,-34067396991,-0.197973835,-0.365628327,-0.561858287,-0.223686127,3.063765575,20.77639073,25.02665915,20.12178589,95.74973159,28.3423107,1.420806156,1.378125824,53.2173317,1.327958121,0.168128319,82488495,63.12189507,60.93488981,8.482,8.48
2003,8.6,10.13876361,1.438469135,10.40202236,31.57562275,32.81171295,1.34,75.78910005,2.614345224,1.571002767,4.310192563,7.358373072,-26100676287,-0.700116686,-0.755077167,-0.659870801,-0.216011907,3.143504215,20.43679377,24.21089995,19.52332506,96.22589382,29.03760677,1.034222186,1.321253524,54.21130896,1.316924865,0.055363304,82534176,63.25727877,61.84931971,9.779,9.78
2004,8.6,9.95044613,4.530557646,10.14603233,30.39067058,35.71336386,1.36,74.96039814,-0.725154707,0.322265025,4.129833115,6.801534885,29478097771,1.175088132,1.197055352,2.839415569,2.837557275,3.147117432,19.83907325,25.03960186,19.09101356,94.79947139,30.51283525,1.665736967,1.115595867,57.76206815,1.268957396,-0.021709728,82516260,63.23661227,66.22619911,10.727,10.73
